Timestamp,Level,Caller,Function,LineNumber,Message
2026-06-26 10:27:00.332,Error,Write-ErrorLog,Write-ErrorLog,37,Critical error occurred
2026-06-26 10:27:00.437,Error,Test-NotNullOrEmpty<Process>,Test-NotNullOrEmpty<Process>,39,TestParam cannot be null or empty
2026-06-26 10:27:00.459,Error,Test-NotNullOrEmpty<Process>,Test-NotNullOrEmpty<Process>,39,TestParam cannot be null or empty
2026-06-26 10:27:00.474,Error,Test-NotNullOrEmpty<Process>,Test-NotNullOrEmpty<Process>,39,TestParam cannot be null or empty
2026-06-26 10:27:00.488,Error,Test-NotNullOrEmpty<Process>,Test-NotNullOrEmpty<Process>,39,ComputerName cannot be null or empty
2026-06-26 10:27:00.527,Error,Test-ValidPath,Test-ValidPath,37,TestPath does not exist: C:\NonExistent\Path\That\Does\Not\Exist
2026-06-26 10:27:00.543,Error,Test-ValidPath,Test-ValidPath,37,TestPath does not exist: C:\InvalidPath
2026-06-26 10:27:01.467,Info,New-HardeningSession,New-HardeningSession,101,"Initializing hardening session: Profile=Basis, Target=Client, OSVersion=11"
2026-06-26 10:27:01.476,Info,New-HardeningSession,New-HardeningSession,101,"Initializing hardening session: Profile=Recommended, Target=Client, OSVersion=11"
2026-06-26 10:27:01.482,Info,New-HardeningSession,New-HardeningSession,101,"Initializing hardening session: Profile=Strict, Target=Client, OSVersion=11"
2026-06-26 10:27:01.506,Info,New-HardeningSession,New-HardeningSession,101,"Initializing hardening session: Profile=Basis, Target=Client, OSVersion=11"
2026-06-26 10:27:01.519,Info,New-HardeningSession,New-HardeningSession,101,"Initializing hardening session: Profile=Basis, Target=Server, OSVersion=2022"
2026-06-26 10:27:01.532,Info,New-HardeningSession,New-HardeningSession,101,"Initializing hardening session: Profile=Basis, Target=Client, OSVersion=11"
2026-06-26 10:27:01.553,Info,New-HardeningSession,New-HardeningSession,101,"Initializing hardening session: Profile=Basis, Target=Server, OSVersion=2019"
2026-06-26 10:27:01.560,Info,New-HardeningSession,New-HardeningSession,101,"Initializing hardening session: Profile=Basis, Target=Server, OSVersion=2022"
2026-06-26 10:27:01.567,Info,New-HardeningSession,New-HardeningSession,101,"Initializing hardening session: Profile=Basis, Target=Server, OSVersion=2025"
2026-06-26 10:27:01.602,Info,New-HardeningSession,New-HardeningSession,101,"Initializing hardening session: Profile=Recommended, Target=Client, OSVersion=11"
2026-06-26 10:27:01.649,Info,New-HardeningSession,New-HardeningSession,101,"Initializing hardening session: Profile=Strict, Target=Server, OSVersion=2025"
2026-06-26 10:27:01.676,Info,New-HardeningSession,New-HardeningSession,101,"Initializing hardening session: Profile=Basis, Target=Client, OSVersion=11"
2026-06-26 10:27:01.695,Info,New-HardeningSession,New-HardeningSession,101,"Initializing hardening session: Profile=Recommended, Target=Client, OSVersion=11"
2026-06-26 10:27:01.716,Info,New-HardeningSession,New-HardeningSession,101,"Initializing hardening session: Profile=Basis, Target=Client, OSVersion=11"
2026-06-26 10:27:01.721,Info,New-HardeningSession,New-HardeningSession,101,"Initializing hardening session: Profile=Basis, Target=Client, OSVersion=11"
2026-06-26 10:27:01.743,Info,New-HardeningSession,New-HardeningSession,101,"Initializing hardening session: Profile=Basis, Target=Server, OSVersion=2022"
2026-06-26 10:27:01.770,Info,New-HardeningSession,New-HardeningSession,101,"Initializing hardening session: Profile=Basis, Target=Client, OSVersion=11"
2026-06-26 10:27:01.800,Info,Get-HardeningProfile,Get-HardeningProfile,68,Loading hardening profile: Basis for Client
2026-06-26 10:27:01.835,Info,Get-HardeningProfile,Get-HardeningProfile,130,Profile loaded successfully: 12 rules for Client
2026-06-26 10:27:01.854,Info,Get-HardeningProfile,Get-HardeningProfile,68,Loading hardening profile: Recommended for Server
2026-06-26 10:27:01.863,Info,Get-HardeningProfile,Get-HardeningProfile,130,Profile loaded successfully: 21 rules for Server
2026-06-26 10:27:01.877,Info,Get-HardeningProfile,Get-HardeningProfile,68,Loading hardening profile: Strict for Client
2026-06-26 10:27:01.883,Info,Get-HardeningProfile,Get-HardeningProfile,130,Profile loaded successfully: 14 rules for Client
2026-06-26 10:27:01.923,Info,Get-HardeningProfile,Get-HardeningProfile,68,Loading hardening profile: Basis for Client
2026-06-26 10:27:01.929,Info,Get-HardeningProfile,Get-HardeningProfile,130,Profile loaded successfully: 12 rules for Client
2026-06-26 10:27:01.945,Info,Get-HardeningProfile,Get-HardeningProfile,68,Loading hardening profile: Basis for Client
2026-06-26 10:27:01.952,Info,Get-HardeningProfile,Get-HardeningProfile,130,Profile loaded successfully: 12 rules for Client
